Title,Release Date,Developer,Publisher,Genre,Age Rating,Platform
Has-Been Heroes,3/28/2017,"Frozenbyte, Inc.",GameTrust,Turn-Based Tactics,Everyone +10,Nintendo Switch
WarioWare Gold,8/3/2018,Nintendo,Nintendo,Party,Everyone +10,3DS
Nitroplus Blasterz: Heroines Infinite Duel,2/2/2016,Examu,XSEED Games,2D Fighting,Teen,PlayStation 4
Tomb Raider: Underworld,11/18/2008,Crystal Dynamics,Eidos Interactive,Action Adventure,Teen,PlayStation 3
Moon Hunters,3/10/2016,Kitfox Games,Kitfox Games,Action RPG,Everyone +10,PlayStation 4
BioShock,8/21/2007,Irrational Games,2K Games,FPS,Mature,Xbox 360
Pokemon Ranger: Guardian Signs,10/4/2010,Creatures Inc.,Nintendo,RPG,Everyone,DS
Time Carnage,4/10/2018,Wales Interactive,Wales Interactive,Light Gun,Teen,PC
Jet Grind Radio,6/26/2003,Vicarious Visions,THQ,3D Platformer,Everyone,Game Boy Advance
Feel the Magic: XY/XX,11/16/2004,Sonic Team,Sega,Party,Teen,DS
Sega Genesis Collection,11/7/2006,Digital Eclipse,Sega,Compilation,Teen,PlayStation 2
The Sims 4: Discover University,11/15/2019,Maxis,Electronic Arts,Virtual Life,Teen,PC
Yooka-Laylee,4/11/2017,Playtonic Games,Team17,3D Platformer,Everyone +10,PC
CSI: NY,11/18/2008,Legacy Interactive,Ubisoft,First-Person Adventure,Teen,PC
Blasphemous 2,8/24/2023,The Game Kitchen,Team17,Metroidvania,Mature,PC
Nobunaga's Ambition: Iron Triangle,1/27/2009,Koei,Koei,Turn-Based Strategy,Everyone +10,PlayStation 2
Bionic Commando (2009),5/18/2009,GRIN,Capcom,Metroidvania,Mature,PC
Harvest Moon DS: Island of Happiness,8/26/2008,TOSE,Natsume,Tycoon,Everyone,DS
Destroy All Humans! Big Willy Unleashed,2/25/2008,Locomotive Games,THQ,Action Adventure,Teen,Wii
The Legend of Zelda: Ocarina of Time / Master Quest,2/28/2003,Nintendo,Nintendo,Open-World Action,Everyone,GameCube
Happy Tree Friends: False Alarm,6/25/2008,Stainless Games,Sega,Action,Mature,PC
Stela,10/17/2019,SkyBox Labs,SkyBox Labs,2D Platformer,Everyone +10,Xbox One
Dance Dance Revolution Extreme 2,9/27/2005,Konami Computer Entertainment Hawaii,Konami,Dancing,Everyone +10,PlayStation 2
Seek and Destroy,12/11/2002,Barnhouse Effect,Conspiracy Entertainment,Vehicle Combat Sim,Teen,PlayStation 2
SSX (2000),10/30/2000,EA Sports Big,EA Sports Big,Skiing,Everyone,PlayStation 2
EARTHLOCK: Festival of Magic,1/27/2017,Snow Castle Games,Snow Castle Games,JRPG,Everyone +10,PC
Wild Arms Alter Code: F,11/15/2005,Media.Vision,Agetec,JRPG,Teen,PlayStation 2
Penny Arcade Adventures: Episode One,5/21/2008,Hothead Games,Hothead Games,Adventure,Mature,PC
Samba de Amigo,9/23/2008,Gearbox Software,Sega,Rhythm,Everyone,Dreamcast
Scarface: The World Is Yours,10/8/2006,Radical Entertainment,Vivendi Games,Action Adventure,Mature,Xbox
Killer Instinct,11/22/2013,Double Helix Games,Microsoft Game Studios,2D Fighting,Teen,Xbox One
NASCAR Heat 2,9/12/2017,Monster Games Inc.,704Games,Auto Racing Sim,Everyone,PlayStation 4
Rise & Fall: Civilizations at War,6/12/2006,Stainless Steel Studios,Midway,Real-Time Strategy,Teen,PC
Ultimate Spider-Man,9/22/2005,Treyarch,Activision,Open-World Action,Teen,PlayStation 2
The Legend of Heroes: Trails to Azure,3/14/2023,Falcom,NIS America,JRPG,Teen,PC
The Amazing Spider-Man 2,4/29/2014,Beenox,Activision,Open-World Action,Teen,PlayStation 4
RLH: Run Like Hell,9/27/2002,Digital Mayhem,Interplay,Action Adventure,Mature,PlayStation 2
R4: Ridge Racer Type 4,5/1/1999,Namco,Namco,Auto Racing,Everyone,PlayStation
Rome: Total War,9/22/2004,Creative Assembly,Activision,Real-Time Strategy,Teen,iOS (iPhone/iPad)
Mutant Mudds Deluxe,6/13/2013,Renegade Kid,Renegade Kid,2D Platformer,Everyone,PlayStation Vita
2064: Read Only Memories,1/17/2017,MidBoss,MidBoss,Point-and-Click,Mature,PC
Sigma Star Saga,8/16/2005,WayForward,Namco,Action RPG,Everyone +10,Game Boy Advance
Super Street Fighter II Turbo HD Remix,11/26/2008,Backbone Entertainment,Capcom,2D Fighting,Teen,Xbox 360
Trine 2,12/7/2011,"Frozenbyte, Inc.","Frozenbyte, Inc.",2D Platformer,Everyone +10,PlayStation 3
Killzone HD,10/23/2012,Supermassive Games,SCEA,FPS,Mature,PlayStation 3
Turrican Flashback Collection,1/29/2021,Factor 5,ININ Games,Compilation,Everyone +10,Nintendo Switch
Looney Tunes Duck Dodgers Starring Daffy Duck,9/16/2000,Paradigm Entertainment,Infogrames,3D Platformer,Everyone,Nintendo 64
Armored Core: Nexus,9/28/2004,From Software,Agetec,Vehicle Combat Sim,Teen,PlayStation 2
Tom Clancy's Splinter Cell Essentials,3/21/2006,Ubisoft,Ubisoft,Tactical Third Person Shooter,Mature,PSP
Medal of Honor: Airborne,9/4/2007,Electronic Arts,Electronic Arts,FPS,Teen,PlayStation 3
Magicka: Vietnam,4/12/2011,Arrowhead Game Studios,Paradox Interactive,Linear Action Adventure,Teen,PC
Dragon Ball Z for Kinect,10/9/2012,Spike Chunsoft,Namco Bandai Games,3D Fighting,Teen,Xbox 360
Sonic Advance 2,3/9/2003,Dimps Corporation,THQ,2D Platformer,Everyone,Game Boy Advance
PGA European Tour,6/15/2000,Infogrames Sheffield,Infogrames,Golf Sim,Everyone,Nintendo 64
DreamWorks Shrek the Third,5/15/2007,7 Studios,Activision,Action Adventure,Everyone +10,PlayStation 2
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,5/18/2010,Telltale Games,Telltale Games,Third-Person Adventure,Everyone +10,PC
Ys: The Ark of Napishtim,2/22/2005,Konami Software Shanghai,Konami,Action RPG,Teen,PC
MX vs. ATV Supercross Encore,10/27/2015,Rainbow Studios,Nordic Games Publishing,Auto Racing,Everyone,PlayStation 4
Naruto: Ultimate Ninja 2,6/12/2007,CyberConnect2,Namco Bandai Games,3D Fighting,Teen,PlayStation 2
Sins of a Solar Empire: Rebellion,6/12/2012,Ironclad Games,Stardock,Strategy,Teen,PC
Excitebike 64,4/30/2000,Left Field Productions,Nintendo,Arcade Racing,Everyone,Nintendo 64
Pikmin 4,7/21/2023,Nintendo,Nintendo,Real-Time Strategy,Everyone +10,Nintendo Switch
Papo & Yo,8/14/2012,Minority Media Inc.,Minority Media Inc.,Adventure,Everyone +10,PlayStation 3
The Complex,3/31/2020,Wales Interactive,Wales Interactive,Adventure,Mature,PlayStation 4
Spider-Man: Shattered Dimensions (2010),9/7/2010,Griptonite Games,Activision,Open-World Action,Everyone +10,DS
Total War: Shogun 2,3/15/2011,Creative Assembly,Sega,Turn-Based Strategy,Teen,PC
Freedom Planet,8/30/2018,GalaxyTrail,XSEED Games,2D Platformer,Everyone +10,PC
Othello,3/23/2017,Arc System Works,Arc System Works,Board,Everyone,Nintendo Switch
Dead Rising,8/8/2006,Capcom,Capcom,Open-World Action,Mature,Xbox 360
Dyad (2012),7/17/2012,Right Square Bracket Left Square Bracket Games,SCEA,Future Racing,Everyone,PlayStation 3
Trials Evolution: Origin of Pain,10/5/2012,RedLynx,Microsoft Game Studios,Auto Racing Sim,Teen,Xbox 360
Beyblade: Evolution,10/22/2013,SIMS,Rising Star Games,Action,Everyone,3DS
Crysis Warhead,9/16/2008,Crytek,Electronic Arts,FPS,Mature,PC
Outriders Worldslayer,6/30/2022,People Can Fly,Square Enix,Third Person Shooter,Mature,PC
DOOM 3,8/3/2004,id Software,Activision,FPS,Mature,PC
Mario & Luigi: Superstar Saga + Bowser's Minions,10/6/2017,Alphadream Corporation,Nintendo,JRPG,Everyone,3DS
EA SPORTS UFC 4,8/14/2020,EA Vancouver,Electronic Arts,Combat Sport,Teen,PlayStation 4
Project Justice,5/16/2001,Capcom,Capcom,3D Fighting,Teen,Dreamcast
Duke Nukem: Manhattan Project,5/17/2002,Sunstorm Interactive,Arush Entertainment,2D Platformer,Mature,PC
Elite Beat Agents,11/6/2006,iNiS,Nintendo,Rhythm,Everyone +10,DS
Buzz! Junior: Jungle Party,10/2/2007,Magenta Software,SCEA,Trivia,Everyone +10,PlayStation 2
Resistance: Burning Skies,5/29/2012,Nihilistic,SCEA,FPS,Mature,PlayStation Vita
Meteos,6/28/2005,Q Entertainment,Nintendo,Matching Puzzle,Everyone,DS
Lunar Knights,2/6/2007,Kojima Productions,Konami,Action RPG,Everyone +10,DS
The Elder Scrolls V: Skyrim - Dragonborn,12/4/2012,Bethesda Game Studios,Bethesda Softworks,Western RPG,Mature,PlayStation 3
Dark Eclipse,9/25/2018,SunSoft,SunSoft,Action RPG,Teen,PlayStation 4
BioShock 2: Minerva's Den,8/31/2010,2K Marin,2K Games,FPS,Mature,PlayStation 3
Red Faction,5/22/2001,Volition Inc.,THQ,FPS,Mature,PlayStation 2
Clive Barker's Jericho,10/23/2007,Mercury Steam,Codemasters,Survival,Mature,PC
Cotton Fantasy,5/20/2022,Studio Saizensen,ININ Games,Horizontal Shoot-'Em-Up,Everyone +10,Nintendo Switch
Dead Rising 4,12/6/2016,Capcom Vancouver,Microsoft Game Studios,Open-World Action,Mature,Xbox One
Yonder: The Cloud Catcher Chronicles,7/18/2017,Prideful Sloth,Prideful Sloth,Open-World Action,Everyone,PlayStation 4
Geometry Wars 3: Dimensions,11/26/2014,Lucid Games,Sierra Games,Top-Down Shoot-'Em-Up,Everyone,Xbox One
BloodRayne,10/15/2002,Terminal Reality,Majesco,Third Person Shooter,Mature,PC
Super Robot Taisen: Original Generation,8/8/2006,Banpresto,Atlus,Turn-Based Tactics,Teen,Game Boy Advance
Michael Jackson The Experience,11/23/2010,Ubisoft Montpellier,Ubisoft,Dancing,Everyone +10,PlayStation 3
Citadel: Forged with Fire,11/1/2019,Blue Isle Studios,Blue Isle Studios,Action RPG,Teen,PC
Fruit Ninja Kinect,8/10/2011,Halfbrick Studios,Microsoft Game Studios,Arcade,Everyone,Xbox 360
Neverwinter Nights 2: Mysteries of Westgate,4/29/2009,Ossian Studios,Atari SA,Western RPG,Teen,PC
Disgaea 6: Defiance of Destiny,6/29/2021,Nippon Ichi Software,NIS America,Turn-Based Tactics,Teen,Nintendo Switch
Sonic Mania Plus,7/17/2018,Sega,Sega,2D Platformer,Everyone,Xbox One
echochrome,5/1/2008,SCE Japan Studio,SCEA,Action Puzzle,Everyone,PlayStation 3
Mario & Sonic at the Rio 2016 Olympic Games,3/18/2016,Sega Sports R&D,Nintendo,Athletics,Everyone +10,3DS
Galaga,7/26/2006,Namco Bandai Games,Namco Bandai Games,Vertical Shoot-'Em-Up,Everyone,Xbox One
Deadfall Adventures,11/15/2013,The Farm 51,Nordic Games Publishing,FPS,Mature,PC
Green Day: Rock Band,6/8/2010,Harmonix Music Systems,MTV Games,Rhythm,Teen,Xbox 360
Arthur and the Invisibles,1/9/2007,Etranges Libellules,Atari SA,Action Adventure,Everyone +10,PSP
BioShock Infinite: Clash in the Clouds,7/30/2013,Irrational Games,2K Games,FPS,Rate Pending,Xbox 360
The Legend of Heroes III: Song of the Ocean,1/23/2007,Microvision,Namco Bandai Games,JRPG,Everyone +10,PSP
Europa Universalis,2/2/2001,Paradox Development Studio,Strategy First,Strategy,Everyone,PC
Silent Hill 4: The Room,9/7/2004,KCET,Konami,Survival,Mature,Xbox
Just Cause 3,11/30/2015,Avalanche Studios,Square Enix,Open-World Action,Mature,PlayStation 4
DreamWorks Shark Tale,9/27/2004,Edge of Reality,Activision,3D Platformer,Everyone,PlayStation 2
Football Manager 2019 Touch,12/6/2018,Sega,Sega,Soccer Management,Everyone,Nintendo Switch
Potata,6/6/2020,OverGamez,Potata Company,2D Platformer,Everyone,PC
Virtua Fighter 4: Evolution,8/13/2003,Sega,Sega,3D Fighting,Teen,PlayStation 2
Big Bang Mini,1/21/2009,Arkedo Studio,SouthPeak Games,Vertical Shoot-'Em-Up,Everyone,DS
Black Mirror,11/28/2017,THQ Nordic,THQ Nordic,Third-Person Adventure,Mature,PC
Resident Evil 5: Lost in Nightmares,2/17/2010,Capcom,Capcom,Survival,Mature,Xbox 360
Fairy Tail,7/31/2020,Gust,Koei Tecmo Games,RPG,Teen,PlayStation 4
Fallout 3: Mothership Zeta,8/3/2009,Bethesda Softworks,Bethesda Softworks,Western RPG,Mature,PlayStation 3
Boom Boom Rocket,4/11/2007,Bizarre Creations,Electronic Arts,Rhythm,Everyone,Xbox 360
Bird & Beans,4/5/2009,Nintendo,Nintendo,Arcade,Everyone,DS
Headlander,7/26/2016,Double Fine Productions,Adult Swim,2D Platformer,Teen,PC
Ultratron,5/14/2015,Carbon Games,Curve Digital,Top-Down Shoot-'Em-Up,Everyone,PlayStation Vita
Submerged,8/4/2015,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,Action Adventure,Everyone +10,PC
Unreal Championship,9/24/2002,Digital Extremes,Atari SA,FPS,Mature,Xbox
Call of Duty: Warzone,11/14/2022,Infinity Ward,Activision,Tactical FPS,Mature,Xbox Series X
Life is Strange: Before the Storm,8/31/2017,Deck Nine Games,Square Enix,Action Adventure,Mature,PC
Destroy All Humans! 2,10/17/2006,Pandemic Studios,THQ,Open-World Action,Teen,PlayStation 2
Life is Strange 2: Episode 1 - Roads,9/27/2018,DONTNOD Entertainment,Square Enix,Third-Person Adventure,Mature,PlayStation 4
Atelier Ayesha: The Alchemist of Dusk,1/13/2015,Gust,Koei Tecmo Games,JRPG,Teen,PlayStation Vita
Headliner: NoviNews,9/5/2019,Unbound Creations,Unbound Creations,Adventure,Teen,Nintendo Switch
Port Royale 2,9/13/2004,Ascaron Entertainment,Ascaron Entertainment,Real-Time Strategy,Teen,PC
The Lost Vikings,3/30/2003,Mass Media,Blizzard Classic Arcade,Action Puzzle,Everyone,Game Boy Advance
OlliOlli World,2/8/2022,roll7,Private Division,2D Platformer,Everyone +10,Nintendo Switch
The House of the Dead 2 & 3 Return,3/11/2008,Sega,Sega,Compilation,Mature,Wii
Mario Kart 8 Deluxe,4/28/2017,Nintendo,Nintendo,Auto Racing,Everyone,Nintendo Switch
MegaTagmension Blanc + Neptune VS Zombies,5/10/2016,Compile Heart,Idea Factory,3D Beat-'Em-Up,Teen,PlayStation Vita
Ashen,12/7/2018,A44,Annapurna Interactive,Open-World Action,Teen,Xbox One
Disney G-Force,7/21/2009,Eurocom,Disney Interactive Studios,3D Platformer,Everyone +10,PlayStation 3
This War of Mine: Complete Edition,11/27/2018,11 bit studios,11 bit studios,Board,Mature,Nintendo Switch
The Sims 4: Eco Lifestyle,6/5/2020,Maxis,Electronic Arts,Virtual Life,Teen,PC
Cooking Mama: World Kitchen,11/18/2008,Cooking Mama Limited,Majesco,Virtual Career,Everyone,Wii
Back to the Future: The Game - Episode II: Get Tannen!,2/17/2011,Telltale Games,Telltale Games,Third-Person Adventure,Rate Pending,iOS (iPhone/iPad)
The Urbz: Sims in the City,11/9/2004,Maxis,EA Games,Virtual Life,Teen,GameCube
Ninjala,6/24/2020,Soleil Ltd.,"GungHo Online Entertainment America, Inc.",Action,Everyone +10,Nintendo Switch
Pro Evolution Soccer 2017,9/13/2016,Konami,Konami,Soccer Sim,Everyone,iOS (iPhone/iPad)
TT Isle of Man: Ride On The Edge 2,3/19/2020,KT Racing,Bigben Interactive,Auto Racing,Everyone,PC
Scribblenauts Showdown,3/6/2018,Shiver Games,Warner Bros. Interactive Entertainment,Action Puzzle,Everyone +10,Xbox One
DJ Hero 2,10/19/2010,FreeStyleGames,Activision,Rhythm,Teen,PlayStation 3
Phantasy Star Zero,11/10/2009,Sonic Team,Sega,Action RPG,Everyone +10,DS
"Warhammer 40,000: Dawn of War II - Chaos Rising",3/10/2010,Relic Entertainment,THQ,Real-Time Strategy,Mature,PC
Crawl,4/11/2017,Powerhoof,Powerhoof,Action RPG,Teen,PC
Football Manager 2022,11/9/2021,Sports Interactive,Sega,Soccer Management,Everyone,PC
Nibiru: Age of Secrets,8/31/2005,Future Games,The Adventure Company,Adventure,Teen,PC
Magnetica,6/5/2006,Mitchell,Nintendo,Matching Puzzle,Everyone,DS
Wii Sports,11/19/2006,Nintendo,Nintendo,Athletics,Everyone,Wii
Unstoppable Gorg,1/19/2012,Futuremark Games Studio,Futuremark Games Studio,Defense,Everyone +10,PC
Tank Troopers,2/16/2017,Nintendo,Nintendo,Vehicle Combat Sim,Everyone,3DS
Chibi-Robo! Park Patrol,9/24/2007,Skip Ltd.,Nintendo,Action Adventure,Everyone,DS
Crash Bash,11/7/2000,Eurocom,SCEA,Party,Everyone,PlayStation
Lifeline (2004),3/2/2004,SCEJ,Konami,Action Adventure,Mature,PlayStation 2
Dakar 18,9/25/2018,Bigmoon Entertainment,Deep Silver,Auto Racing,Everyone,Xbox One
Need for Speed: Underground,11/17/2003,EA Black Box,Electronic Arts,Auto Racing Sim,Everyone,PlayStation 2
Fire Emblem,11/3/2003,Intelligent Systems,Nintendo,Turn-Based Tactics,Everyone,Game Boy Advance
Tower of Guns,3/4/2014,Terrible Posture Games,Terrible Posture Games,FPS,Everyone +10,PC
Crysis Remastered,7/23/2020,Saber Interactive,Crytek,FPS,Mature,Nintendo Switch
Horace,10/21/2020,Paul Helman,505 Games,Adventure,Teen,PC
NCAA Football 08,7/17/2007,EA Sports,EA Sports,Football Sim,Everyone,Xbox 360
Mat Hoffman's Pro BMX 2,8/12/2002,Rainbow Studios,Activision,Biking,Teen,PlayStation 2
Ridge Racer 6,11/17/2005,Namco,Namco,Auto Racing,Everyone,Xbox 360
Sky Force Anniversary,12/9/2016,Infinite Dreams,Infinite Dreams,Vertical Shoot-'Em-Up,Everyone +10,PC
88 Heroes,3/24/2017,Bitmap Bureau,Rising Star Games,2D Platformer,Everyone +10,PC
Resident Evil Village,5/7/2021,Capcom,Capcom,Survival,Mature,PlayStation 5
Toukiden: Kiwami,3/31/2015,Koei Tecmo Games,Koei Tecmo Games,Action,Teen,PlayStation Vita
Sword Art Online: Hollow Fragment,8/19/2014,Aquria,Bandai Namco Games,Action RPG,Teen,PlayStation Vita
Call of Duty: Black Ops 4,10/12/2018,Treyarch,Activision,Tactical FPS,Mature,PlayStation 4
Disney's PK: Out of the Shadows,11/1/2002,Ubisoft,Ubisoft,3D Platformer,Everyone,PlayStation 2
Saw,10/6/2009,Zombie Studios,Konami,Survival,Mature,PC
Dark Sector,3/25/2008,Digital Extremes,D3Publisher,Third Person Shooter,Mature,Xbox 360
All Zombies Must Die!,12/28/2011,Doublesix,Square Enix,Top-Down Shoot-'Em-Up,Teen,Xbox 360
Gunbird 2,11/17/2000,Psikyo,Capcom,Vertical Shoot-'Em-Up,Teen,Dreamcast
Impossible Creatures,12/29/2002,Relic Entertainment,Microsoft Game Studios,Real-Time Strategy,Teen,PC
Cookie Cutter,12/14/2023,Subcult Joint LTD,Rogue Games,Metroidvania,Mature,PC
Vanguard: Saga of Heroes,1/30/2007,Sigil Games Online,Sony Online Entertainment,MMORPG,Teen,PC
Dead Reefs,7/3/2007,Streko-Graphics Inc.,DreamCatcher Interactive,Adventure,Teen,PC
Subnautica: Below Zero,5/14/2021,Unknown Worlds Entertainment,Bandai Namco Games,Sandbox,Everyone +10,PC
DOOM (1993),9/27/2006,Nerve Software,Activision,FPS,Mature,Game Boy Advance
Hard Truck: Apocalypse,6/26/2006,Buka Entertainment,cdv Software,Vehicle Combat Sim,Teen,PC
A Plague Tale: Innocence,5/14/2019,Asobo Studio,Focus Home Interactive,Linear Action Adventure,Mature,PlayStation 4
Azure Striker Gunvolt 3,7/28/2022,Inti Creates,Inti Creates,2D Platformer,Teen,Xbox One
Ghost Giant,4/16/2019,Zoink!,Zoink!,Adventure,Everyone,PlayStation 4
Bomberman Live: Battlefest,12/8/2010,Hudson Entertainment,Hudson Entertainment,Action Puzzle,Everyone,Xbox 360
FIFA Soccer 2005,10/12/2004,EA Canada,EA Sports,Soccer Sim,Everyone,PSP
Worms Rumble,12/1/2020,Team17,Team17,Real-Time Strategy,Everyone +10,PC
Castlevania Requiem: Symphony of the Night & Rondo of Blood,10/26/2018,Konami,Konami,Compilation,Teen,PlayStation 4
Forsaken (1998),4/30/1998,Iguana Entertainment,Acclaim,FPS,Mature,Nintendo 64
Sid Meier's Civilization III,10/30/2001,Firaxis Games,Infogrames,4X Strategy,Everyone,PC
Figment,6/28/2018,Bedtime Digital Games,Bedtime Digital Games,Action Adventure,Everyone +10,PC
Root Film,3/19/2021,Kadokawa,PQube,Visual Novel,Mature,PlayStation 4
Edge Of Eternity,2/10/2022,Midgar Studio,Dear Villagers,JRPG,Teen,Xbox One
Horizons: Empire of Istaria,12/8/2003,Artifact Entertainment,Atari SA,MMORPG,Teen,PC
Fur Fighters: Viggo's Revenge,6/7/2001,Bizarre Creations,Acclaim,Third Person Shooter,Teen,PlayStation 2
PlayStation Move Fitness,3/26/2013,Coldwood Interactive,SCEA,Exercise,Everyone,PlayStation 3
Company of Heroes: Tales of Valor,4/7/2009,Relic Entertainment,THQ,Real-Time Strategy,Mature,PC
Dragalia Lost,9/27/2018,Cygames,Nintendo,RPG,Teen,iOS (iPhone/iPad)
Ironclad Tactics,9/18/2013,Zachtronics Industries,Zachtronics Industries,Strategy,Teen,PC
Star Wars: Knights of the Old Republic II - The Sith Lords,12/6/2004,Obsidian Entertainment,LucasArts,Western RPG,Teen,PC
Deus Ex: Mankind Divided,8/23/2016,Eidos Montreal,Square Enix,Action Adventure,Mature,PlayStation 4
The Gunk,12/16/2021,Image & Form,Thunderful,3D Platformer,Teen,Xbox One
Mister Mosquito,3/12/2002,Zoom,Eidos Interactive,Action,Teen,PlayStation 2
Tenchu 2: Birth of the Stealth Assassins,8/7/2000,Acquire,Activision,Action Adventure,Mature,PlayStation
Banjo-Kazooie,6/29/1998,Rare Ltd.,Nintendo,3D Platformer,Everyone,Nintendo 64
Horizon Forbidden West,2/18/2022,Guerrilla,Sony Interactive Entertainment,Open-World Action,Teen,PlayStation 5
Guilty Gear XX Accent Core,10/15/2007,Arc System Works,Aksys Games,2D Fighting,Teen,Wii
XCOM 2 Collection,5/29/2020,Firaxis Games,2K Games,Turn-Based Tactics,Teen,Nintendo Switch
Resident Evil 7: biohazard - Not a Hero,12/12/2017,Capcom,Capcom,Survival,Mature,Xbox One
NBA Live 19,9/7/2018,EA Tiburon,Electronic Arts,Basketball Sim,Everyone,PlayStation 4
Rogue Ops,10/29/2003,Bits Studios,Kemco,Action Adventure,Mature,Xbox
SEASON: A letter to the future,1/31/2023,Scavengers Studio,Covalent Media,Third-Person Adventure,Everyone,PlayStation 5
Secret of Mana (Remaster),2/15/2018,Q Studios,Square Enix,Action RPG,Everyone +10,PC
Costume Quest,10/19/2010,Double Fine Productions,THQ,Action RPG,Everyone +10,PlayStation 3
Rory McIlroy PGA Tour,7/14/2015,EA Tiburon,EA Sports,Golf Sim,Everyone,PlayStation 4
PlayStation All-Stars Battle Royale,11/20/2012,SuperBot Entertainment,SCEA,2D Fighting,Teen,PlayStation 3
Star Wars: Racer Revenge,2/11/2002,Rainbow Studios,LucasArts,Future Racing,Everyone,PlayStation 2
Hitman,3/11/2016,Io Interactive,Square Enix,Action Adventure,Mature,PlayStation 4
Fire Emblem: Awakening,2/4/2013,Intelligent Systems,Nintendo,Turn-Based Tactics,Teen,3DS
Final Fantasy Explorers,1/26/2016,Racjin,Square Enix,Action RPG,Everyone +10,3DS
Dark Fall: Lights Out,8/31/2004,XXV Productions,The Adventure Company,First-Person Adventure,Teen,PC
Batman: The Telltale Series - Episode 1: Realm of Shadows,8/2/2016,Telltale Games,Telltale Games,Point-and-Click,Mature,PlayStation 4
Puzzle Quest 2,6/30/2010,Infinite Interactive,D3Publisher,Action Puzzle,Everyone +10,Xbox 360
Looney Tunes: Sheep Raider,9/27/2001,Infogrames,Infogrames,Action,Everyone,PlayStation
Worms Revolution,10/10/2012,Team17,Warner Bros. Interactive Entertainment,Artillery,Everyone +10,PlayStation 3
